timestamp_ms,cpu_load_pct,memory_load_pct,temperature_c,network_kbps,auth_failures,battery_pct,integrity_drift,process_count,disk_pressure_pct
49000,36.9,42.0,42.3,580,4,83.2,0.053,68,18.7
50000,38.2,43.2,42.7,596,4,82.4,0.057,70,19.5
51000,39.6,44.5,43.1,613,4,81.6,0.061,72,20.3
52000,41.1,45.8,43.6,630,5,80.7,0.065,75,21.2
53000,42.6,47.2,44.1,648,5,79.8,0.070,77,22.1
54000,44.2,48.6,44.6,667,5,78.8,0.075,80,23.1
55000,45.9,50.1,45.1,687,6,77.8,0.080,83,24.2
56000,47.6,51.7,45.7,708,6,76.7,0.086,86,25.3
57000,49.4,53.3,46.3,730,7,75.5,0.092,89,26.5
58000,51.3,55.0,46.9,753,7,74.3,0.099,93,27.8
59000,53.2,56.7,47.5,777,8,73.0,0.106,96,29.2
60000,55.2,58.5,48.2,802,8,71.6,0.114,100,30.7
61000,57.3,60.4,48.9,828,9,70.1,0.122,104,32.2
62000,59.5,62.3,49.6,855,10,68.5,0.131,108,33.9
63000,61.7,64.3,50.4,884,10,66.8,0.140,113,35.7
64000,64.0,66.3,51.2,914,11,65.0,0.150,118,37.5
65000,66.4,68.4,52.0,945,12,63.1,0.161,123,39.5
66000,68.9,70.5,52.9,978,13,61.1,0.173,128,41.6
67000,71.0,72.2,53.6,1005,14,59.2,0.183,132,43.4
68000,73.0,73.8,54.3,1030,15,57.3,0.193,136,45.0
69000,74.8,75.2,55.0,1055,16,55.5,0.203,140,46.5
70000,76.5,76.5,55.6,1078,17,53.7,0.212,143,47.8
71000,78.0,77.8,56.2,1100,18,52.0,0.221,146,49.0
72000,79.5,79.0,56.8,1122,19,50.3,0.230,149,50.2
73000,80.8,80.0,57.3,1142,20,48.7,0.238,152,51.2
74000,82.0,81.0,57.8,1162,21,47.2,0.246,154,52.2
75000,83.0,81.8,58.2,1180,21,45.7,0.253,156,53.0
76000,84.0,82.5,58.6,1197,22,44.3,0.260,158,53.8
77000,84.8,83.2,59.0,1213,23,43.0,0.266,160,54.5
78000,85.5,83.8,59.3,1228,23,41.7,0.272,161,55.1
79000,86.2,84.3,59.6,1242,24,40.5,0.278,163,55.6
80000,86.8,84.8,59.9,1255,24,39.4,0.283,164,56.1
81000,87.3,85.2,60.2,1268,25,38.3,0.288,165,56.5
82000,87.8,85.5,60.4,1280,25,37.3,0.292,166,56.9
83000,88.2,85.8,60.6,1291,26,36.3,0.296,167,57.2
84000,88.5,86.1,60.8,1301,26,35.4,0.300,168,57.5
85000,88.8,86.3,61.0,1310,26,34.5,0.303,168,57.7
86000,89.0,86.5,61.1,1319,27,33.7,0.306,169,57.9
87000,89.2,86.7,61.3,1327,27,32.9,0.309,169,58.1
88000,89.4,86.8,61.4,1334,27,32.2,0.311,170,58.2
89000,89.5,87.0,61.5,1341,28,31.5,0.313,170,58.4
90000,89.6,87.1,61.6,1347,28,30.9,0.315,170,58.5
91000,89.7,87.2,61.7,1353,28,30.3,0.317,171,58.6
92000,89.8,87.3,61.8,1358,28,29.7,0.318,171,58.7
93000,89.8,87.3,61.8,1362,29,29.2,0.320,171,58.7
94000,89.9,87.4,61.9,1366,29,28.7,0.321,171,58.8
95000,89.9,87.4,61.9,1370,29,28.2,0.322,172,58.8
96000,89.9,87.5,62.0,1373,29,27.8,0.323,172,58.9
97000,89.9,87.5,62.0,1376,29,27.4,0.324,172,58.9
98000,90.0,87.5,62.0,1379,30,27.0,0.324,172,58.9
99000,90.0,87.5,62.0,1381,30,26.6,0.325,172,59.0
100000,90.0,87.5,62.0,1383,30,26.3,0.325,172,59.0
101000,87.0,85.0,61.0,1300,28,26.0,0.310,168,57.0
102000,84.0,82.5,59.8,1220,26,25.7,0.295,164,55.0
103000,81.0,80.0,58.5,1140,24,25.4,0.280,160,53.0
104000,78.0,77.5,57.2,1060,22,25.2,0.265,156,51.0
105000,75.0,75.0,56.0,980,20,25.0,0.250,152,49.0
106000,72.0,72.0,54.5,900,18,24.8,0.230,147,46.5
107000,68.0,68.5,53.0,820,16,24.6,0.210,142,44.0
108000,64.0,65.0,51.5,740,14,24.4,0.190,137,41.5
109000,60.0,61.5,50.0,660,12,24.2,0.170,132,39.0
110000,56.0,58.0,48.5,580,10,24.0,0.150,126,36.5
111000,52.0,54.5,47.0,500,8,23.8,0.130,120,34.0
112000,48.0,51.0,45.5,440,7,23.6,0.115,114,31.5
113000,44.0,47.0,44.0,380,5,23.4,0.095,108,28.5
114000,40.0,43.5,42.5,330,4,23.2,0.078,100,25.5
115000,36.0,40.0,41.0,300,3,23.0,0.060,92,22.5
116000,32.0,36.5,40.0,270,2,22.8,0.045,84,19.5
117000,28.0,33.0,38.5,240,1,22.6,0.035,76,17.0
118000,24.0,29.5,37.5,215,1,22.4,0.025,65,14.5
119000,20.0,26.0,36.5,200,0,22.2,0.018,55,12.0
120000,17.0,23.0,35.8,190,0,22.0,0.013,48,10.0
