timestamp_ms,cpu_load_pct,memory_load_pct,temperature_c,network_kbps,auth_failures,battery_pct,integrity_drift,process_count,disk_pressure_pct
31000,12.5,20.3,35.1,296,0,89.0,0.010,41,8.1
32000,13.1,21.0,35.5,302,0,88.8,0.011,42,8.5
33000,14.4,22.4,36.2,317,0,88.6,0.012,44,9.1
34000,12.9,20.6,35.3,299,0,88.4,0.010,42,8.3
35000,13.8,21.8,35.9,310,0,88.2,0.012,43,8.9
36000,14.7,22.7,36.3,322,0,88.0,0.013,45,9.3
37000,12.3,20.1,34.9,293,0,87.8,0.009,40,7.9
38000,13.3,21.2,35.6,304,0,87.6,0.011,43,8.6
39000,14.1,22.1,36.0,313,0,87.4,0.012,44,9.0
40000,12.6,20.4,35.1,297,0,87.2,0.010,41,8.2
41000,13.5,21.4,35.7,306,0,87.0,0.011,43,8.7
42000,14.3,22.3,36.1,315,0,86.8,0.012,44,9.0
43000,12.4,20.2,35.0,295,0,86.6,0.009,41,8.0
44000,13.7,21.6,35.8,309,0,86.4,0.012,43,8.9
45000,14.0,22.0,36.0,311,0,86.2,0.011,44,8.9
46000,12.8,20.7,35.3,300,0,86.0,0.010,42,8.4
47000,13.2,21.1,35.5,303,0,85.8,0.011,42,8.5
48000,14.6,22.6,36.3,320,0,85.6,0.013,45,9.2
49000,12.1,19.9,34.8,292,0,85.4,0.009,40,7.8
50000,13.9,21.9,35.9,312,0,85.2,0.012,43,8.9
51000,14.2,22.2,36.1,315,0,85.0,0.012,44,9.1
52000,12.5,20.3,35.1,296,0,84.8,0.010,41,8.1
53000,13.4,21.2,35.6,304,0,84.6,0.011,43,8.6
54000,14.5,22.5,36.2,318,0,84.4,0.013,44,9.2
55000,12.9,20.6,35.3,299,0,84.2,0.010,42,8.3
56000,13.6,21.5,35.7,307,0,84.0,0.011,43,8.8
57000,14.4,22.4,36.2,317,0,83.8,0.012,44,9.1
58000,12.3,20.1,35.0,294,0,83.6,0.009,41,8.0
59000,13.1,21.0,35.5,302,0,83.4,0.011,42,8.5
60000,14.7,22.7,36.3,321,0,83.2,0.013,45,9.3
61000,12.7,20.5,35.2,298,0,83.0,0.010,42,8.3
62000,13.8,21.8,35.9,310,0,82.8,0.012,43,8.9
63000,14.0,22.0,36.0,312,0,82.6,0.011,44,9.0
64000,12.4,20.2,35.0,295,0,82.4,0.009,41,8.0
65000,13.3,21.2,35.6,304,0,82.2,0.011,43,8.6
66000,14.3,22.3,36.1,316,0,82.0,0.012,44,9.1
67000,12.6,20.4,35.1,297,0,81.8,0.010,41,8.2
68000,13.5,21.3,35.7,306,0,81.6,0.011,43,8.7
69000,14.1,22.1,36.0,313,0,81.4,0.012,44,9.0
70000,12.8,20.7,35.3,300,0,81.2,0.010,42,8.4
71000,13.2,21.1,35.5,303,0,81.0,0.011,42,8.5
72000,14.6,22.6,36.3,320,0,80.8,0.013,45,9.2
73000,12.1,19.9,34.8,292,0,80.6,0.009,40,7.8
74000,13.9,21.9,35.9,312,0,80.4,0.012,43,8.9
75000,14.2,22.2,36.1,315,0,80.2,0.012,44,9.1
76000,12.5,20.3,35.1,296,0,80.0,0.010,41,8.1
77000,13.4,21.3,35.6,305,0,79.8,0.011,43,8.6
78000,14.5,22.5,36.2,318,0,79.6,0.013,44,9.2
79000,12.9,20.6,35.3,299,0,79.4,0.010,42,8.3
80000,13.6,21.5,35.7,308,0,79.2,0.011,43,8.8
81000,18.2,26.0,37.5,450,2,79.0,0.020,48,12.0
82000,22.5,30.5,39.0,680,3,78.5,0.035,55,15.5
83000,28.0,35.2,40.8,1100,5,78.0,0.055,65,19.0
84000,35.0,40.8,42.5,1800,7,77.2,0.075,78,24.5
85000,42.5,47.0,44.5,2800,9,76.4,0.095,92,30.0
86000,50.0,52.5,46.8,3900,12,75.3,0.110,108,36.5
87000,58.5,58.0,48.5,5100,15,73.8,0.130,125,42.0
88000,65.0,62.5,50.2,6000,18,72.0,0.150,140,48.5
89000,72.0,67.0,52.0,6800,21,69.8,0.170,158,55.0
90000,78.5,71.5,54.0,7500,24,67.2,0.190,172,61.5
91000,82.0,74.0,55.5,7800,26,64.5,0.205,182,66.0
92000,85.5,76.5,57.0,8200,28,61.8,0.220,190,70.5
93000,88.0,78.0,58.0,8500,30,59.0,0.235,196,74.0
94000,90.0,80.0,59.5,8800,32,56.2,0.250,202,77.5
95000,91.5,81.5,60.5,9000,34,53.5,0.265,208,80.0
96000,89.0,79.0,59.0,8600,31,51.0,0.250,200,76.0
97000,86.5,77.0,57.5,8300,29,48.5,0.235,194,72.5
98000,84.0,75.0,56.0,8000,27,46.2,0.220,188,69.0
99000,88.0,78.0,58.5,8600,30,43.8,0.240,198,74.0
100000,91.0,81.0,60.0,9100,33,41.2,0.260,206,79.0
101000,93.5,83.5,61.5,9400,36,38.5,0.280,212,82.5
102000,90.0,80.0,59.5,8800,32,36.0,0.255,200,77.0
103000,87.0,77.5,57.5,8400,29,34.0,0.235,192,73.0
104000,85.0,75.5,56.5,8100,27,32.2,0.225,186,70.0
105000,82.0,73.5,55.0,7700,25,30.5,0.210,180,66.5
106000,79.0,71.0,53.5,7400,23,29.0,0.195,174,63.0
107000,76.0,68.5,52.0,7000,21,27.5,0.180,168,59.5
108000,73.0,66.0,50.5,6600,19,26.2,0.165,160,56.0
109000,70.0,63.5,49.0,6200,17,25.0,0.150,152,52.5
110000,67.0,61.0,47.5,5800,15,24.0,0.135,144,49.0
111000,64.0,58.5,46.0,5400,13,23.0,0.120,136,45.5
112000,61.0,56.0,44.5,5000,11,22.2,0.105,128,42.0
113000,58.0,53.5,43.0,4600,9,21.5,0.090,120,38.5
114000,55.0,51.0,42.0,4200,8,20.8,0.080,115,35.0
115000,50.0,47.0,40.5,3500,6,20.2,0.065,105,30.0
116000,45.0,42.5,39.0,2800,4,19.8,0.050,95,25.0
117000,38.0,37.0,38.0,2000,3,19.4,0.038,82,20.0
118000,30.0,32.0,37.0,1400,2,19.0,0.028,70,16.0
119000,24.0,27.5,36.0,800,1,18.8,0.018,55,12.0
120000,18.0,24.0,35.5,500,0,18.5,0.012,46,9.5
