timestamp_ms,cpu_load_pct,memory_load_pct,temperature_c,network_kbps,auth_failures,battery_pct,integrity_drift,process_count,disk_pressure_pct
82000,48.0,51.0,43.4,610,6,0.1,0.168,98,24.0
83000,44.0,48.0,42.6,550,5,0.1,0.150,93,22.0
84000,40.0,45.0,41.8,500,4,0.1,0.135,88,20.0
85000,37.0,42.5,41.2,460,3,0.1,0.120,83,18.5
86000,34.0,40.0,40.5,425,2,0.1,0.108,78,17.0
87000,31.0,37.5,40.0,395,2,0.1,0.095,73,15.5
88000,28.0,35.5,39.4,370,1,0.1,0.085,68,14.2
89000,26.0,33.5,38.9,350,1,0.1,0.075,64,13.0
90000,24.0,31.5,38.5,330,1,0.1,0.065,60,12.0
91000,22.0,30.0,38.0,315,0,0.1,0.058,56,11.0
92000,20.0,28.5,37.6,300,0,0.1,0.050,53,10.2
93000,18.5,27.0,37.2,290,0,0.1,0.044,50,9.5
94000,17.0,26.0,36.8,280,0,0.1,0.038,47,8.8
95000,16.0,25.0,36.5,272,0,0.1,0.033,45,8.3
96000,15.0,24.0,36.2,265,0,0.1,0.028,43,7.8
97000,14.2,23.2,35.9,258,0,0.1,0.024,41,7.4
98000,13.5,22.5,35.7,252,0,0.1,0.020,40,7.0
99000,12.8,21.8,35.5,246,0,0.1,0.018,39,6.8
100000,12.2,21.2,35.3,242,0,0.1,0.015,38,6.5
101000,11.8,20.8,35.1,238,0,0.1,0.013,37,6.3
102000,11.4,20.4,35.0,235,0,0.1,0.012,37,6.1
103000,11.0,20.0,34.8,232,0,0.1,0.011,36,5.9
104000,10.8,19.7,34.7,230,0,0.1,0.010,36,5.8
105000,10.5,19.5,34.6,228,0,0.1,0.009,36,5.7
106000,10.3,19.3,34.5,226,0,0.1,0.009,35,5.6
107000,10.2,19.1,34.4,225,0,0.1,0.008,35,5.5
108000,10.0,19.0,34.3,224,0,0.1,0.008,35,5.5
109000,9.9,18.8,34.3,223,0,0.1,0.008,35,5.4
110000,9.8,18.7,34.2,222,0,0.1,0.007,35,5.4
111000,9.7,18.6,34.2,221,0,0.1,0.007,35,5.3
112000,9.6,18.5,34.1,220,0,0.1,0.007,35,5.3
113000,9.5,18.5,34.1,220,0,0.1,0.007,34,5.3
114000,9.5,18.4,34.0,219,0,0.1,0.007,34,5.2
115000,9.4,18.3,34.0,219,0,0.1,0.006,34,5.2
116000,9.4,18.3,34.0,218,0,0.1,0.006,34,5.2
117000,9.3,18.2,33.9,218,0,0.1,0.006,34,5.2
118000,9.3,18.2,33.9,218,0,0.1,0.006,34,5.1
119000,9.2,18.1,33.9,217,0,0.1,0.006,34,5.1
120000,9.2,18.1,33.9,217,0,0.1,0.006,34,5.1
